# r_in_m r_out_m
0.000000e+00 1.000000e-05
1.000000e-05 2.000000e-05
2.000000e-05 3.000000e-05
3.000000e-05 4.000000e-05
4.000000e-05 5.000000e-05
5.000000e-05 6.075000e-05
6.075000e-05 7.230625e-05
7.230625e-05 8.472922e-05
8.472922e-05 9.808391e-05
9.808391e-05 1.124402e-04
1.124402e-04 1.278732e-04
1.278732e-04 1.444637e-04
1.444637e-04 1.622985e-04
1.622985e-04 1.814709e-04
1.814709e-04 2.020812e-04
2.020812e-04 2.242373e-04
2.242373e-04 2.480551e-04
2.480551e-04 2.736592e-04
2.736592e-04 3.011836e-04
3.011836e-04 3.307724e-04
3.307724e-04 3.625804e-04
3.625804e-04 3.967739e-04
3.967739e-04 4.335319e-04
4.335319e-04 4.730468e-04
4.730468e-04 5.155253e-04
5.155253e-04 5.611897e-04
5.611897e-04 6.102790e-04
6.102790e-04 6.630499e-04
6.630499e-04 7.197786e-04
7.197786e-04 7.807620e-04
7.807620e-04 8.463192e-04
8.463192e-04 9.167931e-04
9.167931e-04 9.925526e-04
9.925526e-04 1.073994e-03
1.073994e-03 1.161544e-03
1.161544e-03 1.255659e-03
1.255659e-03 1.356834e-03
1.356834e-03 1.465596e-03
1.465596e-03 1.582516e-03
1.582516e-03 1.708205e-03
1.708205e-03 1.843320e-03
1.843320e-03 1.988569e-03
1.988569e-03 2.144712e-03
2.144712e-03 2.312565e-03
2.312565e-03 2.493008e-03
2.493008e-03 2.686983e-03
2.686983e-03 2.895507e-03
2.895507e-03 3.119670e-03
3.119670e-03 3.360645e-03
3.360645e-03 3.619694e-03
3.619694e-03 3.898171e-03
3.898171e-03 4.197533e-03
4.197533e-03 4.519348e-03
4.519348e-03 4.865299e-03
4.865299e-03 5.237197e-03
5.237197e-03 5.636987e-03
